basis,R,N,procedure,basis_dim,gs_total,gs_err,delta_sc,s_min,eff_dim,delta_int,E_exact_tot,E_exact_sum,delta_exact,joint_dim,E_a,E_b,E_dimer
6-31g,1.1,6,baseline_separate,6,-1.7766552693718758,0.0018238069375779986,0.5265733705026259,2.062603927026114e-11,5,0.5265733659426859,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516143176572808,-1.1516143176572808,
6-31g,1.1,6,baseline_dimer,6,-1.7766552693718758,0.0018238069375779986,3.109282378233047e-06,2.062603927026114e-11,5,0.5265702612202476,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.3032255305921234
6-31g,1.1,7,novel,49,-1.772862889528752,0.0056161867807018595,0.5303657503457497,-6.64860909076173e-15,19,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,7,baseline_separate,7,-1.7778443224257225,0.0006347538837312428,0.5253843174487791,1.977921223438567e-13,6,0.525384311694908,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516143170603153,-1.1516143170603153,
6-31g,1.1,7,baseline_dimer,7,-1.7778443224257225,0.0006347538837312428,3.7239325401117185e-07,1.977921223438567e-13,6,0.5253839450555251,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.3032282674812476
6-31g,1.1,8,novel,64,-1.7729037987835259,0.005575277525927902,0.5303248410909758,-1.0104414873859711e-14,21,,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,
6-31g,1.1,8,baseline_separate,8,-1.7778301775725849,0.0006488987368689081,0.5253984623019168,2.855744688162991e-15,6,0.5253984623019115,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,-1.1516143199372482,-1.1516143199372482,
6-31g,1.1,8,baseline_dimer,8,-1.7778301775725849,0.0006488987368689081,9.762206154562136e-09,2.855744688162991e-15,6,0.5253984525397106,-1.7784790763094538,-2.3032286398745017,0.5247495635650479,16384,,,-2.3032286301122955
6-31g,10.0,2,novel,4,-2.2895405209495903,0.013688142951385096,0.013688118924911397,5.996476107078673e-08,4,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,2,baseline_separate,2,-2.296522964450554,0.006705699450421321,0.006705675423947621,0.001108433625355176,2,0.00019201696985371441,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1481654737403502,-1.1481654737403502,
6-31g,10.0,2,baseline_dimer,2,-2.296522964450554,0.006705699450421321,0.007296600554710153,0.001108433625355176,2,0.0005909251307625318,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.2959320393197915
6-31g,10.0,3,novel,9,-2.2990104250596914,0.004218238841283917,0.004218214814810217,1.0046508383207213e-15,7,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,3,baseline_separate,3,-2.301895703901292,0.001332959999683414,0.0013329359732097146,5.469876403604543e-06,3,0.0005108018057118358,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.151203252853502,-1.151203252853502,
6-31g,10.0,3,baseline_dimer,3,-2.301895703901292,0.001332959999683414,0.0014173916688164923,5.469876403604543e-06,3,8.445569560677768e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.301811248205685
6-31g,10.0,4,novel,16,-2.3009244422988444,0.0023042216021309514,0.002304197575657252,-1.4480510590072375e-16,11,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,4,baseline_separate,4,-2.3029010257935227,0.00032763810745262134,0.00032761408097892186,5.357188620902916e-08,4,0.00032497277116982914,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516129992823463,-1.1516129992823463,
6-31g,10.0,4,baseline_dimer,4,-2.3029010257935227,0.00032763810745262134,0.0004690940819864764,5.357188620902916e-08,4,0.00014148000100755453,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.302759545792515
6-31g,10.0,5,novel,25,-2.301607070011386,0.0016215938895891568,0.0016215698631154574,-1.1631471921778672e-15,16,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,5,baseline_separate,5,-2.303192396658645,3.6267242330190186e-05,3.624321585649071e-05,9.57646144287549e-10,5,3.6239466399745623e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143180625225,-1.1516143180625225,
6-31g,10.0,5,baseline_dimer,5,-2.303192396658645,3.6267242330190186e-05,5.9544905967712225e-05,9.57646144287549e-10,5,2.3301690111221518e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.303169094968534
6-31g,10.0,6,novel,36,-2.3016271400742645,0.00160152382671086,0.0016014998002371605,-5.733016143122008e-15,18,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,6,baseline_separate,6,-2.3031917083734297,3.695552754567899e-05,3.693150107197951e-05,7.877069445600009e-12,5,3.692694113199835e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143176572808,-1.1516143176572808,
6-31g,10.0,6,baseline_dimer,6,-2.3031917083734297,3.695552754567899e-05,3.109282378233047e-06,7.877069445600009e-12,5,3.3822218693746464e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.3032255305921234
6-31g,10.0,7,novel,49,-2.301643138593922,0.0015855253070533593,0.0015855012805796598,-7.614643113628609e-15,19,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,7,baseline_separate,7,-2.3031908998627473,3.776403822808305e-05,3.774001175438357e-05,2.2025407224669945e-14,5,3.773425788322626e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143170603153,-1.1516143170603153,
6-31g,10.0,7,baseline_dimer,7,-2.3031908998627473,3.776403822808305e-05,3.7239325401117185e-07,2.2025407224669945e-14,5,3.73676185003724e-05,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.3032282674812476
6-31g,10.0,8,novel,64,-2.3019633081989994,0.0012653557019759454,0.001265331675502246,-9.11626225264801e-15,22,,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,
6-31g,10.0,8,baseline_separate,8,-2.3032275600820986,1.1038188767464874e-06,1.0797924030470085e-06,1.1325785001755336e-15,6,1.079792397717938e-06,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,-1.1516143199372482,-1.1516143199372482,
6-31g,10.0,8,baseline_dimer,8,-2.3032275600820986,1.1038188767464874e-06,9.762206154562136e-09,1.1325785001755336e-15,6,1.0700301968924464e-06,-2.3032286639009754,-2.3032286398745017,-2.4026473699478856e-08,16384,,,-2.3032286301122955
6-31g,100.0,2,novel,4,-2.2923182213992845,0.010910418470777561,0.01091041847521712,1.281688861672347e-08,4,,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,
6-31g,100.0,2,baseline_separate,2,-2.2965146749915752,0.0067139648784868555,0.006713964882926415,0.001288667543662192,2,0.00018372751087492034,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,-1.1481654737403502,-1.1481654737403502,
6-31g,100.0,2,baseline_dimer,2,-2.2965146749915752,0.0067139648784868555,0.007296600554710153,0.001288667543662192,2,0.0005826356717837378,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,-2.2959320393197915
6-31g,100.0,3,novel,9,-2.2991496720991447,0.00407896777091743,0.00407896777535699,-5.851854517658042e-16,6,,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,
6-31g,100.0,3,baseline_separate,3,-2.301894389216356,0.0013342506537061816,0.0013342506581457414,7.422223126285091e-06,3,0.0005121164906478626,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,-1.151203252853502,-1.151203252853502,
6-31g,100.0,3,baseline_dimer,3,-2.301894389216356,0.0013342506537061816,0.0014173916688164923,7.422223126285091e-06,3,8.314101067075086e-05,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,-2.301811248205685
6-31g,100.0,4,novel,16,-2.3021827890598683,0.0010458508101938158,0.0010458508146333756,-1.4784120587813416e-15,10,,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,
6-31g,100.0,4,baseline_separate,4,-2.3028990762216512,0.0003295636484108577,0.00032956365285041755,8.411984823723501e-08,4,0.00032692234304132484,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,-1.1516129992823463,-1.1516129992823463,
6-31g,100.0,4,baseline_dimer,4,-2.3028990762216512,0.0003295636484108577,0.0004690940819864764,8.411984823723501e-08,4,0.00013953042913605884,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,-2.302759545792515
6-31g,100.0,5,novel,25,-2.3029502620197015,0.00027837785036055607,0.0002783778548001159,-2.464639958570915e-15,14,,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,
6-31g,100.0,5,baseline_separate,5,-2.3031920931250314,3.6546745030729966e-05,3.6546749470289797e-05,1.7679936669709213e-09,5,3.654300001354471e-05,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,-1.1516143180625225,-1.1516143180625225,
6-31g,100.0,5,baseline_dimer,5,-2.3031920931250314,3.6546745030729966e-05,5.9544905967712225e-05,1.7679936669709213e-09,5,2.299815649742243e-05,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,-2.303169094968534
6-31g,100.0,6,novel,36,-2.3030206793779313,0.0002079604921307876,0.00020796049657034743,-5.781785058043444e-15,17,,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,
6-31g,100.0,6,baseline_separate,6,-2.3031912880235366,3.735184652553514e-05,3.735185096509497e-05,1.6945875056642666e-11,5,3.7347291025113805e-05,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,-1.1516143176572808,-1.1516143176572808,
6-31g,100.0,6,baseline_dimer,6,-2.3031912880235366,3.735184652553514e-05,3.109282378233047e-06,1.6945875056642666e-11,5,3.424256858686192e-05,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,-2.3032255305921234
6-31g,100.0,7,novel,49,-2.303029753969581,0.0001988859004811161,0.00019888590492067593,-7.887503071178175e-15,19,,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,
6-31g,100.0,7,baseline_separate,7,-2.303227567057545,1.0728125170444969e-06,1.0728169566043277e-06,5.333889385146243e-14,6,1.0670630854470176e-06,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,-1.1516143170603153,-1.1516143170603153,
6-31g,100.0,7,baseline_dimer,7,-2.303227567057545,1.0728125170444969e-06,3.7239325401117185e-07,5.333889385146243e-14,6,7.004237025931559e-07,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,-2.3032282674812476
6-31g,100.0,8,novel,64,-2.3030308758797475,0.00019776399031457004,0.00019776399475412987,-1.1241253647611908e-14,20,,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,
6-31g,100.0,8,baseline_separate,8,-2.3032275008576852,1.1390123768606486e-06,1.1390168164204795e-06,4.761855308037395e-16,6,1.139016811091409e-06,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,-1.1516143199372482,-1.1516143199372482,
6-31g,100.0,8,baseline_dimer,8,-2.3032275008576852,1.1390123768606486e-06,9.762206154562136e-09,4.761855308037395e-16,6,1.1292546102659173e-06,-2.303228639870062,-2.3032286398745017,4.439559830871076e-12,16384,,,-2.3032286301122955
6-31g,1000.0,2,novel,4,-2.2923494575627483,0.010879182887234329,0.010879182311753333,1.3334890481535557e-08,4,,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,
6-31g,1000.0,2,baseline_separate,2,-2.296513743524705,0.0067148969252777135,0.006714896349796717,0.0013088443331142894,2,0.00018279604400461835,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,-1.1481654737403502,-1.1481654737403502,
6-31g,1000.0,2,baseline_dimer,2,-2.296513743524705,0.0067148969252777135,0.007296600554710153,0.0013088443331142894,2,0.0005817042049134358,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,-2.2959320393197915
6-31g,1000.0,3,novel,9,-2.2991553985240154,0.0040732419259672525,0.004073241350486256,-2.5331513326120086e-16,6,,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,
6-31g,1000.0,3,baseline_separate,3,-2.3018942448772597,0.0013343955727229684,0.0013343949972419722,7.659810550847746e-06,3,0.0005122608297440934,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,-1.151203252853502,-1.151203252853502,
6-31g,1000.0,3,baseline_dimer,3,-2.3018942448772597,0.0013343955727229684,0.0014173916688164923,7.659810550847746e-06,3,8.299667157452006e-05,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,-2.301811248205685
6-31g,1000.0,4,novel,16,-2.3021863022522435,0.0010423381977391344,0.0010423376222581382,-1.5996824771512842e-15,10,,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,
6-31g,1000.0,4,baseline_separate,4,-2.3028988602575673,0.00032978019241536316,0.00032977961693436697,8.812550115041493e-08,4,0.00032713830712527425,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,-1.1516129992823463,-1.1516129992823463,
6-31g,1000.0,4,baseline_dimer,4,-2.3028988602575673,0.00032978019241536316,0.0004690940819864764,8.812550115041493e-08,4,0.00013931446505210943,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,-2.302759545792515
6-31g,1000.0,5,novel,25,-2.3029703914189312,0.0002582490310514274,0.0002582484555704312,-2.0416997980208948e-15,14,,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,
6-31g,1000.0,5,baseline_separate,5,-2.3031920619865955,3.657846338711579e-05,3.65778879061196e-05,1.883543024603514e-09,5,3.6574138449374516e-05,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,-1.1516143180625225,-1.1516143180625225,
6-31g,1000.0,5,baseline_dimer,5,-2.3031920619865955,3.657846338711579e-05,5.9544905967712225e-05,1.883543024603514e-09,5,2.2967018061592626e-05,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,-2.303169094968534
6-31g,1000.0,6,novel,36,-2.303049402025919,0.00017923842406375456,0.00017923784858275837,-4.579976762610021e-15,17,,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,
6-31g,1000.0,6,baseline_separate,6,-2.303191243850165,3.739659981771837e-05,3.739602433672218e-05,1.8341604359327833e-11,5,3.7391464396741014e-05,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,-1.1516143176572808,-1.1516143176572808,
6-31g,1000.0,6,baseline_dimer,6,-2.303191243850165,3.739659981771837e-05,3.109282378233047e-06,1.8341604359327833e-11,5,3.428674195848913e-05,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,-2.3032255305921234
6-31g,1000.0,7,novel,49,-2.303067482124095,0.00016115832588781132,0.00016115775040681513,-6.615514896036576e-15,19,,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,
6-31g,1000.0,7,baseline_separate,7,-2.3032275647642697,1.0756857129479158e-06,1.0751102319517258e-06,5.878324051257642e-14,6,1.0693563607944157e-06,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,-1.1516143170603153,-1.1516143170603153,
6-31g,1000.0,7,baseline_dimer,7,-2.3032275647642697,1.0756857129479158e-06,3.7239325401117185e-07,5.878324051257642e-14,6,7.02716977940554e-07,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,-2.3032282674812476
6-31g,1000.0,8,novel,64,-2.3030686413898067,0.00015999906017594157,0.00015999848469494538,-1.1423599985383009e-14,20,,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,
6-31g,1000.0,8,baseline_separate,8,-2.303227497371969,1.143078013576826e-06,1.142502532580636e-06,4.919195996211797e-16,6,1.1425025272515654e-06,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,-1.1516143199372482,-1.1516143199372482,
6-31g,1000.0,8,baseline_dimer,8,-2.303227497371969,1.143078013576826e-06,9.762206154562136e-09,4.919195996211797e-16,6,1.1327403264260738e-06,-2.3032286404499827,-2.3032286398745017,-5.754809961899809e-10,16384,,,-2.3032286301122955
